Gene_symbol,Cell_type,Mean_log2_fold_change,Adjusted_p_value
Pi16,EndoC,0.799207952,1.12E-07
Bnc2,EndoC,1.571529,1.13E-07
A330023F24Rik,EndoC,0.413388671,1.18E-07
Hif1a,EndoC,0.437153949,1.22E-07
Tmem30a,EndoC,0.390494489,1.25E-07
Adam2,EndoC,3.169556744,1.33E-07
Gm10629,EndoC,3.041613822,1.34E-07
Bcl6,EndoC,1.296222175,1.34E-07
Rock2,EndoC,0.351971053,1.36E-07
Zfp385a,EndoC,1.812984523,1.36E-07
Fgfrl1,EndoC,1.623448307,1.43E-07
Grasp,EndoC,0.578305401,1.45E-07
Pafah1b2,EndoC,0.441477723,1.50E-07
Nt5c3,EndoC,0.543212784,1.55E-07
Nudt3,EndoC,0.437063823,1.57E-07
Dipk1a,EndoC,1.083940239,1.63E-07
Clybl,EndoC,1.056176685,1.65E-07
Aig1,EndoC,0.543884846,1.70E-07
Sgsm2,EndoC,1.397079024,1.78E-07
Scn1b,EndoC,1.130468528,1.79E-07
Tle4,EndoC,0.454720838,1.79E-07
Stau2,EndoC,0.72657852,1.82E-07
Cnpy2,EndoC,0.707743494,1.82E-07
Rif1,EndoC,0.488158356,1.86E-07
Icam2,EndoC,0.414302727,1.95E-07
Pde9a,EndoC,0.99148377,1.98E-07
Pxylp1,EndoC,2.588859496,1.99E-07
Tll1,EndoC,0.773912233,2.19E-07
Ranbp9,EndoC,0.455622909,2.34E-07
Stk39,EndoC,0.565215746,2.37E-07
Rras,EndoC,0.437499658,2.40E-07
Pdlim2,EndoC,1.27617782,2.69E-07
Tpra1,EndoC,0.718860907,2.77E-07
Fam13c,EndoC,0.389049429,3.01E-07
Cacna1e,EndoC,2.609600616,3.01E-07
Lrrc58,EndoC,0.380742194,3.17E-07
C1rb,EndoC,1.922828893,3.27E-07
Ube2h,EndoC,0.496146977,3.46E-07
Plk2,EndoC,0.901724463,3.47E-07
Manf,EndoC,0.487403391,3.47E-07
Fkbp2,EndoC,0.846883475,3.48E-07
Kank2,EndoC,0.555908665,3.49E-07
Peli1,EndoC,0.481080486,3.52E-07
Nr4a1,EndoC,0.929838031,3.54E-07
Nek3,EndoC,1.842798585,3.59E-07
Tm9sf2,EndoC,0.372904803,3.61E-07
Ctbp2,EndoC,0.592259805,3.69E-07
Gas5,EndoC,0.466784538,3.73E-07
Zrsr1,EndoC,0.833460412,3.81E-07
Mmp2,EndoC,0.822368075,3.81E-07
Cers4,EndoC,0.409470898,3.81E-07
Hsp90ab1,EndoC,0.323421803,3.87E-07
Wipi2,EndoC,0.4933282,3.97E-07
Nxn,EndoC,0.446305968,4.03E-07
Selenom,EndoC,0.600664466,4.31E-07
Sned1,EndoC,0.243553276,4.59E-07
Nfatc1,EndoC,0.524691484,4.65E-07
Nucks1,EndoC,0.38191804,4.71E-07
Ankrd55,EndoC,4.273295118,4.88E-07
Abhd16a,EndoC,0.570861937,5.00E-07
Nkain4,EndoC,2.680154633,5.02E-07
Arhgef17,EndoC,1.239707653,5.05E-07
Net1,EndoC,1.070455642,5.11E-07
Cpox,EndoC,0.80372179,5.69E-07
Tulp4,EndoC,0.345618277,5.75E-07
Mier3,EndoC,0.709242414,5.82E-07
Parva,EndoC,0.391296297,5.94E-07
Nenf,EndoC,0.49100669,6.37E-07
Cgrrf1,EndoC,0.590406408,6.58E-07
Rabac1,EndoC,0.44936728,6.74E-07
Pfdn6,EndoC,0.64435768,6.93E-07
Rps3,EndoC,0.378615445,7.21E-07
Zfp983,EndoC,0.95584601,7.60E-07
Pigk,EndoC,0.596715461,8.12E-07
Clcf1,EndoC,2.356475189,8.18E-07
Twsg1,EndoC,0.740994726,8.23E-07
Nmt2,EndoC,0.371262368,8.27E-07
Rhou,EndoC,2.195259381,8.32E-07
Hectd2,EndoC,1.094198995,8.53E-07
Poglut3,EndoC,0.88588566,8.57E-07
Gm12536,EndoC,3.812041814,9.20E-07
Gata5,EndoC,3.276261932,9.28E-07
Amigo1,EndoC,1.113102303,9.55E-07
Sec61a1,EndoC,0.577818728,1.04E-06
Mtm1,EndoC,0.597041663,1.05E-06
Shisa4,EndoC,2.82200899,1.13E-06
Pgam1,EndoC,0.647381812,1.14E-06
Hdac4,EndoC,0.45846566,1.18E-06
Tmem98,EndoC,0.977130286,1.27E-06
Adamts3,EndoC,2.519153232,1.28E-06
Rragb,EndoC,4.40540708,1.29E-06
Ctsd,EndoC,0.319622498,1.30E-06
Ucp2,EndoC,0.513285848,1.33E-06
Gm16759,EndoC,1.254505181,1.35E-06
Trp53bp2,EndoC,0.929113113,1.36E-06
Ahdc1,EndoC,0.458693692,1.40E-06
Gm16083,EndoC,0.880885854,1.47E-06
Atp1a1,EndoC,0.407946875,1.48E-06
Cd164,EndoC,0.386707985,1.49E-06
Stt3b,EndoC,0.419826129,1.50E-06
Acer3,EndoC,0.370420965,1.55E-06
Slf2,EndoC,0.344929048,1.56E-06
Tspan11,EndoC,1.220517368,1.60E-06
Rgma,EndoC,1.618537952,1.63E-06
Bmp2k,EndoC,0.748500505,1.64E-06
Vrk2,EndoC,0.707883853,1.65E-06
Il13ra1,EndoC,0.84066507,1.76E-06
Rab18,EndoC,0.370928178,1.79E-06
Ocrl,EndoC,0.474238282,1.85E-06
Tk2,EndoC,0.949231636,1.88E-06
Lpp,EndoC,0.265926544,1.93E-06
Hsd11b1,EndoC,1.210199614,2.08E-06
Hs2st1,EndoC,0.515735415,2.08E-06
Fgf2,EndoC,1.544253237,2.15E-06
Pfkfb3,EndoC,0.547196077,2.15E-06
Kcnb2,EndoC,3.864779242,2.28E-06
Ndrg3,EndoC,0.507437587,2.35E-06
Abca8b,EndoC,0.998526941,2.43E-06
2210408F21Rik,EndoC,0.528716525,2.45E-06
Eif2b3,EndoC,0.767826864,2.52E-06
Patz1,EndoC,0.65248137,2.76E-06
Specc1,EndoC,0.835720052,2.79E-06
Glmp,EndoC,0.537573272,2.81E-06
Snw1,EndoC,0.571621197,3.36E-06
Tm6sf1,EndoC,0.566548309,3.44E-06
Tbrg1,EndoC,0.531101793,3.48E-06
Khdc4,EndoC,0.394060729,3.73E-06
Col6a2,EndoC,0.878461402,3.76E-06
Syde2,EndoC,1.76462114,3.90E-06
Aga,EndoC,0.947155939,4.10E-06
Arap1,EndoC,0.740855529,4.15E-06
Cbx7,EndoC,0.637628762,4.28E-06
Fam120b,EndoC,0.474964659,4.44E-06
Hmgn1,EndoC,0.507400696,4.53E-06
Cys1,EndoC,1.487926151,4.66E-06
Tcf7l1,EndoC,0.459113381,4.75E-06
Gm10605,EndoC,2.476493308,4.80E-06
Il15,EndoC,0.390081795,5.20E-06
Wdfy2,EndoC,0.385396214,5.21E-06
Sgpp1,EndoC,1.090894286,5.56E-06
Scara5,EndoC,1.580333141,5.80E-06
Myo1c,EndoC,0.306341925,5.86E-06
Akr1a1,EndoC,0.352046285,6.08E-06
Firre,EndoC,0.298986234,6.19E-06
Cd2ap,EndoC,0.313216461,6.40E-06
Panx1,EndoC,1.0547215,6.40E-06
Gm13431,EndoC,2.40049918,6.58E-06
Insig2,EndoC,0.536933686,6.66E-06
Mtmr12,EndoC,0.407179231,6.79E-06
Mrfap1,EndoC,0.335002672,6.88E-06
Sept6,EndoC,1.77608468,7.25E-06
Tead2,EndoC,0.806492792,7.30E-06
Kl,EndoC,3.504226813,7.34E-06
Catspere2,EndoC,1.100257389,7.35E-06
Sord,EndoC,0.928124522,7.44E-06
Abhd14b,EndoC,0.841627705,7.50E-06
Plod3,EndoC,0.616549608,7.56E-06
Ro60,EndoC,0.593330159,7.83E-06
Pear1,EndoC,0.406272416,7.87E-06
Exosc7,EndoC,0.593741535,7.90E-06
Ick,EndoC,0.377371524,8.08E-06
Cd82,EndoC,1.346158602,8.17E-06
Nfic,EndoC,0.420109012,8.20E-06
Uhmk1,EndoC,0.553658737,8.21E-06
Cers2,EndoC,0.620453257,8.30E-06
Chka,EndoC,0.593031579,8.84E-06
Mfsd13a,EndoC,1.565910497,8.94E-06
Tmub1,EndoC,1.523599005,9.00E-06
Pias1,EndoC,0.282574353,9.37E-06
Acadsb,EndoC,0.480942343,9.41E-06
Crtc3,EndoC,0.341950986,9.46E-06
Arf4,EndoC,0.484136882,9.70E-06
Rps27,EndoC,0.314051694,9.70E-06
Rps21,EndoC,0.323444953,9.76E-06
Epha5,EndoC,2.837565196,9.85E-06
Gm14296,EndoC,0.980544988,1.04E-05
Lima1,EndoC,0.271233971,1.05E-05
3010001F23Rik,EndoC,3.728750826,1.08E-05
Eif1a,EndoC,0.627678496,1.14E-05
Medag,EndoC,1.492584736,1.16E-05
Sema5b,EndoC,3.290483691,1.19E-05
Cldn11,EndoC,3.129035866,1.21E-05
A4galt,EndoC,1.060412936,1.23E-05
Tacc2,EndoC,0.323648662,1.23E-05
Cpeb2,EndoC,0.534373576,1.23E-05
Son,EndoC,0.290471039,1.24E-05
Hspa12a,EndoC,0.967075456,1.25E-05
Ssr1,EndoC,0.424864828,1.26E-05
Rpl3,EndoC,0.404728256,1.26E-05
Bcl9l,EndoC,0.479118829,1.26E-05
Tulp3,EndoC,0.66488327,1.27E-05
Kdelr2,EndoC,0.493834878,1.32E-05
Lancl1,EndoC,1.087873331,1.33E-05
Dtx3,EndoC,0.692444972,1.37E-05
Usp24,EndoC,0.390125607,1.41E-05
Hspa13,EndoC,0.800557951,1.45E-05
Tsc2,EndoC,0.708552611,1.56E-05
H3f3b,EndoC,0.379353607,1.58E-05
Stt3a,EndoC,0.418117469,1.59E-05
Cmah,EndoC,1.895365125,1.60E-05
Tram1,EndoC,0.41251147,1.67E-05
Bcl9,EndoC,0.70284016,1.74E-05
Fahd2a,EndoC,1.13594393,1.75E-05
Rin2,EndoC,0.415241414,1.80E-05
Anapc16,EndoC,0.442861681,1.81E-05
Zhx2,EndoC,0.390747171,1.87E-05
Rps6ka5,EndoC,0.565613197,1.90E-05
Adm,EndoC,0.866813138,1.94E-05
Dnajc3,EndoC,0.382493077,1.94E-05
Nsd2,EndoC,0.189831844,1.98E-05
Ifi27l2b,EndoC,4.946689395,1.98E-05
Baiap3,EndoC,4.207732559,2.00E-05
Glp1r,EndoC,4.141341558,2.00E-05
Abi2,EndoC,0.271694601,2.03E-05
Zfp141,EndoC,0.802930676,2.04E-05
Pds5a,EndoC,0.306973882,2.05E-05
Rnf145,EndoC,0.534073206,2.05E-05
Atxn7l3b,EndoC,0.331240651,2.06E-05
Urgcp,EndoC,0.517059289,2.07E-05
Bckdhb,EndoC,0.67174502,2.19E-05
Itgav,EndoC,0.365729468,2.19E-05
Pdcd4,EndoC,0.51276634,2.21E-05
Tbc1d4,EndoC,0.473093335,2.33E-05
Src,EndoC,2.134801447,2.35E-05
Gm4788,EndoC,2.723751479,2.36E-05
Glipr2,EndoC,1.106474163,2.36E-05
Gkap1,EndoC,0.373974672,2.36E-05
Gm26754,EndoC,3.075106006,2.38E-05
Snx9,EndoC,0.337922863,2.40E-05
Neat1,EndoC,0.31463896,2.40E-05
Glul,EndoC,0.426483447,2.40E-05
Degs2,EndoC,1.481913466,2.44E-05
Tpp1,EndoC,0.607307482,2.50E-05
Fgd1,EndoC,1.208547488,2.52E-05
Zfyve9,EndoC,0.367262784,2.54E-05
BC005561,EndoC,0.371439878,2.61E-05
Shisa5,EndoC,0.320844334,2.61E-05
Rasa3,EndoC,0.713912739,2.66E-05
Hspb8,EndoC,0.44181791,2.85E-05
Tmem165,EndoC,0.36813928,2.86E-05
Akap17b,EndoC,1.895711525,2.95E-05
Rrp1,EndoC,0.594542795,3.05E-05
Creld1,EndoC,1.049821166,3.06E-05
Syvn1,EndoC,0.812678989,3.15E-05
Gcc2,EndoC,0.255558051,3.16E-05
Edn1,EndoC,1.246467017,3.16E-05
Col4a3bp,EndoC,0.438349857,3.28E-05
Reep5,EndoC,0.347044122,3.29E-05
Ggcx,EndoC,0.948958724,3.38E-05
Fblim1,EndoC,0.566380744,3.40E-05
Rab8b,EndoC,0.43026888,3.49E-05
Tspo,EndoC,0.526668647,3.65E-05
Ccdc50,EndoC,0.320716683,3.89E-05
Gipc1,EndoC,0.942544738,3.90E-05
Aopep,EndoC,0.348748497,3.94E-05
9530068E07Rik,EndoC,0.452256363,4.04E-05
Gad1os,EndoC,2.524214559,4.05E-05
Dnajc24,EndoC,0.641032076,4.08E-05
Hbegf,EndoC,1.413885005,4.12E-05
Rpl22l1,EndoC,0.298875285,4.18E-05
Kif21a,EndoC,1.698117195,4.29E-05
Sgsh,EndoC,1.466247617,4.31E-05
Zfp9,EndoC,1.048170254,4.49E-05
Selenoi,EndoC,0.515691554,4.66E-05
B230216N24Rik,EndoC,0.938166859,4.76E-05
Otud7b,EndoC,0.254473732,4.78E-05
Fbxo9,EndoC,0.461531196,4.88E-05
Ttc8,EndoC,1.027103573,4.95E-05
Nupr1,EndoC,1.470110934,5.05E-05
Tmbim6,EndoC,0.29596411,5.19E-05
Sema3a,EndoC,0.828812187,5.22E-05
Atp7a,EndoC,0.38696893,5.25E-05
Coq10b,EndoC,0.308848327,5.30E-05
Tmem9,EndoC,1.081373429,5.41E-05
Trim2,EndoC,0.521398096,5.64E-05
Osgin1,EndoC,1.863685819,5.85E-05
Hist2h2be,EndoC,1.664046897,5.93E-05
Trit1,EndoC,0.6828335,6.01E-05
Fam126b,EndoC,0.55029731,6.02E-05
Ube2q2,EndoC,0.353861591,6.06E-05
Gnao1,EndoC,1.214359671,6.21E-05
Fam8a1,EndoC,0.425765746,6.25E-05
M6pr,EndoC,0.622585411,6.41E-05
Crip2,EndoC,0.31286893,6.64E-05
Slc25a36,EndoC,0.335260412,6.82E-05
Casp4,EndoC,0.538645408,6.88E-05
Gli2,EndoC,2.239852182,6.97E-05
Ogt,EndoC,0.352119228,6.98E-05
Rpl9,EndoC,0.320417974,7.14E-05
Camsap1,EndoC,0.476002235,7.33E-05
Dhdh,EndoC,1.685609535,7.43E-05
Nr1d2,EndoC,0.217034659,7.52E-05
Tm2d3,EndoC,0.70005463,7.81E-05
E130311K13Rik,EndoC,1.195305487,7.95E-05
Bst1,EndoC,2.395980266,7.99E-05
Hspa9,EndoC,0.431049797,7.99E-05
Arhgef10l,EndoC,1.217532334,8.09E-05
Rab3d,EndoC,0.534435373,8.16E-05
Mmgt2,EndoC,1.409525184,8.24E-05
Met,EndoC,1.396578259,8.31E-05
Wdr26,EndoC,0.32060511,8.44E-05
Mob3a,EndoC,0.969292235,8.50E-05
Ttll4,EndoC,0.496663159,8.59E-05
Rab21,EndoC,0.368390779,8.80E-05
Bcap31,EndoC,0.289474864,9.00E-05
Peg3,EndoC,0.350206461,9.03E-05
Ddx1,EndoC,0.49394139,9.15E-05
Hyal1,EndoC,0.806432691,9.42E-05
Irf2bp1,EndoC,0.767305627,9.45E-05
Triobp,EndoC,0.446308881,9.46E-05
Gm42696,EndoC,1.492198672,9.49E-05
Rplp1,EndoC,0.255390661,9.54E-05
Ttbk2,EndoC,0.729383898,9.64E-05
Atp10a,EndoC,1.624747783,9.70E-05
Lamb2,EndoC,0.309454884,1.00E-04
Hdgf,EndoC,0.396254509,1.01E-04
Rbm42,EndoC,0.719343952,1.01E-04
Rmdn1,EndoC,0.304933216,1.06E-04
Ccdc8,EndoC,1.346216001,1.06E-04
Hsd17b4,EndoC,0.503953116,1.07E-04
Pwwp2b,EndoC,0.7998393,1.08E-04
Ssr3,EndoC,0.303654557,1.09E-04
Stxbp2,EndoC,1.94732888,1.13E-04
Sele,EndoC,2.379908837,1.13E-04
Far1,EndoC,0.306267233,1.15E-04
Akr1b3,EndoC,0.47735001,1.15E-04
Rnf165,EndoC,0.91576382,1.16E-04
Tmem51os1,EndoC,2.934464438,1.18E-04
Slc30a9,EndoC,0.304474763,1.21E-04
Tmem202,EndoC,2.710818617,1.22E-04
Efemp1,EndoC,1.476915077,1.24E-04
Ints13,EndoC,0.71296965,1.24E-04
Gm30613,EndoC,1.283432666,1.26E-04
Sod1,EndoC,0.225907348,1.27E-04
Calu,EndoC,0.394354745,1.27E-04
Pde6d,EndoC,0.228502686,1.30E-04
Atp6v0c,EndoC,0.329018825,1.30E-04
Rpl5,EndoC,0.286879064,1.33E-04
Hgsnat,EndoC,0.70754722,1.34E-04
Otogl,EndoC,3.635772649,1.39E-04
Rbms1,EndoC,0.226181767,1.40E-04
Gm16008,EndoC,1.948311945,1.44E-04
Nuak1,EndoC,0.738053251,1.47E-04
Sec11c,EndoC,0.635619019,1.48E-04
Usf2,EndoC,0.392976443,1.48E-04
Kazald1,EndoC,1.527523689,1.50E-04
Fam167b,EndoC,2.038416593,1.51E-04
Hmgn2,EndoC,0.57914283,1.53E-04
Eif1ax,EndoC,0.565759567,1.54E-04
Rps16,EndoC,0.288067667,1.54E-04
Man1c1,EndoC,0.372656031,1.55E-04
Ifi27,EndoC,0.402955277,1.57E-04
2900097C17Rik,EndoC,0.385152409,1.64E-04
Gm42418,EndoC,0.159836266,1.66E-04
Nhsl1,EndoC,0.325657444,1.67E-04
Zfp791,EndoC,1.677619365,1.68E-04
Arhgdia,EndoC,0.350118121,1.70E-04
Dennd4c,EndoC,0.251456112,1.79E-04
Nap1l3,EndoC,2.124910273,1.83E-04
Dynll1,EndoC,0.31516598,1.89E-04
Dmac2l,EndoC,0.773810009,1.90E-04
Nadk,EndoC,0.462208522,1.92E-04
P2rx7,EndoC,1.072724519,1.94E-04
Isyna1,EndoC,0.876869247,1.94E-04
Polr2a,EndoC,0.391749346,1.96E-04
Apex2,EndoC,0.633916738,1.98E-04
Cpt1a,EndoC,0.469336654,1.99E-04
Setd3,EndoC,0.332032527,2.00E-04
Cox7a2l,EndoC,0.277449356,2.00E-04
Hsp90aa1,EndoC,0.274554954,2.01E-04
Cndp2,EndoC,0.748949875,2.02E-04
Maco1,EndoC,0.31149065,2.06E-04
Ablim2,EndoC,0.562690887,2.07E-04
Gfpt2,EndoC,1.052422466,2.08E-04
Gnptab,EndoC,0.56484882,2.15E-04
Hnrnpll,EndoC,0.39697364,2.17E-04
Zdhhc3,EndoC,0.324138265,2.18E-04
Trip4,EndoC,0.490889949,2.19E-04
Txk,EndoC,2.535913486,2.20E-04
Mrps26,EndoC,0.496175312,2.21E-04
Casp6,EndoC,0.75542979,2.25E-04
Rpl37a,EndoC,0.252541969,2.30E-04
Zcchc3,EndoC,1.000363237,2.32E-04
Man2b1,EndoC,0.307794561,2.32E-04
Galnt2,EndoC,0.357920387,2.35E-04
Magt1,EndoC,0.479224951,2.41E-04
Matr3,EndoC,0.263633724,2.42E-04
Zfp275,EndoC,0.696517242,2.43E-04
Ncl,EndoC,0.45358963,2.44E-04
Slmap,EndoC,0.293452821,2.53E-04
Tmem50a,EndoC,0.404017328,2.57E-04
Tmed2,EndoC,0.241375121,2.61E-04
Ass1,EndoC,0.817501959,2.66E-04
Acvr1b,EndoC,0.742008887,2.67E-04
Selenon,EndoC,0.57863663,2.67E-04
Ptbp1,EndoC,0.368453165,2.68E-04
Imp3,EndoC,0.348482747,2.71E-04
Las1l,EndoC,0.537468417,2.78E-04
Phf21a,EndoC,0.242835178,2.82E-04
Selp,EndoC,0.849865883,2.85E-04
Amotl1,EndoC,0.331918079,2.86E-04
Atp6ap1,EndoC,0.408433052,2.96E-04
Ankrd10,EndoC,0.331321621,2.96E-04
Nfe2,EndoC,4.007825768,2.98E-04
1700020L24Rik,EndoC,3.621281826,3.01E-04
Tprkb,EndoC,1.183062352,3.17E-04
Eea1,EndoC,0.243206256,3.24E-04
Gpx8,EndoC,1.173496462,3.25E-04
Mustn1,EndoC,1.050488166,3.28E-04
Blvrb,EndoC,0.78848983,3.36E-04
Lyl1,EndoC,1.102874961,3.36E-04
Gm16141,EndoC,2.634960444,3.39E-04
Rp2,EndoC,0.559567676,3.49E-04
Ecscr,EndoC,0.26557943,3.49E-04
Fosb,EndoC,2.995617577,3.50E-04
C1galt1c1,EndoC,0.560381942,3.56E-04
Mecp2,EndoC,0.215447113,3.58E-04
Zmiz2,EndoC,0.546439886,3.59E-04
Mtcl1,EndoC,2.333654132,3.62E-04
Arl2,EndoC,0.550114948,3.64E-04
Etfbkmt,EndoC,1.353055822,3.73E-04
Tmem135,EndoC,0.198750438,3.74E-04
Klhl3,EndoC,0.495606888,3.77E-04
Ern1,EndoC,0.468034919,3.78E-04
Cyp27a1,EndoC,1.597692056,3.79E-04
Misp,EndoC,1.519754258,3.83E-04
Rpl10,EndoC,0.315426973,3.84E-04
Iqsec1,EndoC,0.387070695,3.86E-04
Man1a,EndoC,0.395584132,3.88E-04
Usp11,EndoC,1.239521477,3.98E-04
Gldc,EndoC,1.351756766,3.99E-04
Slc1a5,EndoC,0.891224573,4.05E-04
Cx3cr1,EndoC,1.111950571,4.06E-04
Mapk14,EndoC,0.304537713,4.06E-04
Taf9b,EndoC,0.875768084,4.10E-04
Gm13844,EndoC,2.13552085,4.13E-04
Socs3,EndoC,0.9887439,4.16E-04
Bhlhb9,EndoC,1.37479869,4.21E-04
Dyrk2,EndoC,0.6581247,4.24E-04
Slc8a1,EndoC,0.4104638,4.26E-04
Zfyve27,EndoC,0.656179932,4.28E-04
Zfp609,EndoC,0.306818985,4.29E-04
Gm42701,EndoC,1.232197227,4.35E-04
Naa80,EndoC,0.792981895,4.40E-04
Fbxo6,EndoC,0.825382395,4.45E-04
Ing1,EndoC,0.664586541,4.49E-04
Cdk2ap1,EndoC,0.566233784,4.60E-04
Ecpas,EndoC,0.167384462,4.62E-04
Trerf1,EndoC,0.345628491,4.66E-04
Arfgap2,EndoC,0.510946539,4.67E-04
Sfi1,EndoC,0.62768962,4.93E-04
Arl6,EndoC,1.142855917,4.98E-04
Plcb3,EndoC,0.666977539,5.07E-04
Mtmr1,EndoC,0.426411461,5.15E-04
Tmem170b,EndoC,0.680933362,5.17E-04
Mafb,EndoC,1.244788677,5.26E-04
Gm49959,EndoC,0.696194144,5.28E-04
Rhod,EndoC,1.383278557,5.31E-04
Fads3,EndoC,0.881499257,5.41E-04
Xpa,EndoC,0.624248593,5.42E-04
Rarres2,EndoC,0.773410077,5.50E-04
Tmem170,EndoC,0.979359772,5.58E-04
Prodh,EndoC,1.268892791,5.58E-04
Araf,EndoC,0.499916189,5.62E-04
Vcpip1,EndoC,0.403242102,5.68E-04
Smyd3,EndoC,0.225218281,5.69E-04
Ash1l,EndoC,0.220035398,5.70E-04
Rsph3a,EndoC,0.975236907,5.91E-04
Ing5,EndoC,1.001931956,5.93E-04
Pheta2,EndoC,2.671953164,5.97E-04
Sardh,EndoC,1.149492392,6.00E-04
Immp2l,EndoC,0.379710192,6.26E-04
Plekhb2,EndoC,0.411553294,6.43E-04
Ptprs,EndoC,0.662913495,6.70E-04
Phlda1,EndoC,1.059636017,6.76E-04
Selenos,EndoC,0.506057272,6.90E-04
Col6a1,EndoC,0.706855156,6.96E-04
Nucb2,EndoC,0.684559943,6.98E-04
Tmem59,EndoC,0.259643486,6.99E-04
Gstm1,EndoC,0.324093109,7.01E-04
Myl12b,EndoC,0.274769755,7.07E-04
Pfdn1,EndoC,0.303180884,7.22E-04
Pex11a,EndoC,2.172255162,7.24E-04
Tmed7,EndoC,0.26498913,7.27E-04
Kiz,EndoC,0.311903773,7.30E-04
Lin7c,EndoC,0.379403665,7.82E-04
Zcchc7,EndoC,0.240754123,7.99E-04
Slc35c1,EndoC,1.583419385,8.00E-04
Gm26756,EndoC,3.566851733,8.02E-04
Mrps15,EndoC,0.381262872,8.09E-04
Epha4,EndoC,0.237571146,8.18E-04
Ufl1,EndoC,0.284506257,8.30E-04
Gm20635,EndoC,2.854269523,8.35E-04
Serf2,EndoC,0.296382572,8.37E-04
9330182L06Rik,EndoC,2.780909835,8.39E-04
Ttc34,EndoC,3.473558063,8.54E-04
Bclaf1,EndoC,0.27585028,8.62E-04
Anxa7,EndoC,0.389726519,8.66E-04
A830008E24Rik,EndoC,2.72303683,8.77E-04
Erlec1,EndoC,0.456684002,8.98E-04
Impad1,EndoC,0.517333856,9.00E-04
Asph,EndoC,0.368738091,9.09E-04
Lynx1,EndoC,0.835355162,9.26E-04
Tgfbi,EndoC,1.883950059,9.27E-04
Nprl3,EndoC,0.641227904,9.50E-04
Selenof,EndoC,0.283457718,9.51E-04
Phlda3,EndoC,1.126271539,9.57E-04
Rpl6,EndoC,0.21299147,9.57E-04
L3mbtl2,EndoC,0.927774189,9.58E-04
Ak3,EndoC,0.547355211,9.67E-04
Drosha,EndoC,0.383662587,9.93E-04
Pqlc1,EndoC,0.523868312,9.93E-04
Phldb2,EndoC,0.36018308,0.001015869
Stim1,EndoC,0.248661154,0.001020856
Fbxo42,EndoC,0.341342769,0.001029251
Nudt7,EndoC,0.747282535,0.001046861
Clip4,EndoC,0.575905107,0.001047891
Mfsd5,EndoC,0.504897138,0.001055281
Tal1,EndoC,0.299195352,0.001066111
Acss2,EndoC,1.201807479,0.001070054
Mpv17,EndoC,0.498992365,0.001070498
Eef1g,EndoC,0.261487183,0.001077638
Ralb,EndoC,0.398856761,0.001089421
Wdr44,EndoC,0.32637397,0.00108968
Ddost,EndoC,0.38330991,0.001114078
Mul1,EndoC,0.617604274,0.001185565
Cldnd1,EndoC,0.662779173,0.001196992
Mapk3,EndoC,0.292811538,0.001203787
Clcn4,EndoC,0.383384947,0.001264241
D230022J07Rik,EndoC,1.709858523,0.001265092
Atxn7l1,EndoC,0.234584555,0.001271479
Zmiz1os1,EndoC,1.851132039,0.001278716
Rbpj,EndoC,0.406092507,0.001307872
P4ha1,EndoC,0.196636157,0.001308267
Zfp57,EndoC,0.771735267,0.001386718
Cul5,EndoC,0.272921303,0.001432679
Acp2,EndoC,0.857285906,0.001438843
Gstp1,EndoC,0.547662766,0.001439132
Ptov1,EndoC,0.482945835,0.001475161
Nek6,EndoC,0.563683682,0.00147543
Tfg,EndoC,0.691212678,0.001511023
Chd9,EndoC,0.245086887,0.00151629
Gm5860,EndoC,1.636313554,0.001546054
Ift80,EndoC,0.636548559,0.00155538
Mitf,EndoC,0.45362943,0.001572056
Gm43260,EndoC,1.079289972,0.001596591
Dab2,EndoC,0.284235944,0.001598933
Prepl,EndoC,0.505610942,0.001625232
Upf3b,EndoC,0.408863173,0.001645489
Sorbs2os,EndoC,0.975235463,0.001666199
Zdhhc21,EndoC,0.529444565,0.001676801
Mtus1,EndoC,0.2692474,0.00172432
Zkscan1,EndoC,0.415027047,0.001727536
Agtrap,EndoC,0.606209248,0.001735312
Selenok,EndoC,0.316869928,0.001744713
Tmed3,EndoC,0.526138079,0.001745461
Topors,EndoC,0.512188655,0.001757588
Rhoq,EndoC,0.371837003,0.001779779
Ppp2r1b,EndoC,0.839958952,0.001801071
Lrrfip1,EndoC,0.306297538,0.001811856
Slc38a6,EndoC,0.389704252,0.001822259
Vwa7,EndoC,1.335981189,0.001884144
Gm37422,EndoC,2.593077427,0.001893565
Pde8b,EndoC,2.092367827,0.001907283
Rab11fip3,EndoC,0.402919208,0.001981646
Rbfox2,EndoC,0.196582359,0.001993829
Ythdc2,EndoC,0.461847715,0.001998658
Olfml2b,EndoC,1.151614264,0.002039732
Tnrc6a,EndoC,0.227523825,0.002050018
Wdpcp,EndoC,0.573531174,0.002065682
Fam167a,EndoC,2.660656586,0.002074815
Trps1,EndoC,0.218590583,0.002113778
Nt5dc1,EndoC,0.302316527,0.002120093
Arf2,EndoC,0.60312197,0.002170014
Selenot,EndoC,0.236276455,0.002174092
Pabpc4,EndoC,0.296080323,0.002188993
Osmr,EndoC,0.248965394,0.002195804
Dock5,EndoC,1.253719216,0.002200182
Sec16a,EndoC,0.396152708,0.002208021
E2f5,EndoC,0.498508863,0.002222924
Tmed9,EndoC,0.359725342,0.002246182
Col20a1,EndoC,0.823944742,0.002253077
Mbtps1,EndoC,0.441890921,0.002300795
